name,id,productCode,subcategory,osp,mrp,ratings,size,color,vendor,brand,model,metadata,time
"Cockatoo CUB-01 Smart Series Magnetic Exercise Bike For Home Gym, Upright Bike (1 Year Warranty & Free Installation Assistance)",B07Q5YKZP4,B07Q5YKZP4_-2728333124508997523_1684397190105365300_1,excies bike ,"8,999","₹18,700",4.3 out of 5 stars,,,amazon,Cockatoo,CUB-01,"{'Brand': 'Cockatoo', 'Special Feature': 'Distance Travelled Monitor', 'Colour': 'White', 'Item Weight': '19 kg', 'Material': 'Alloy Steel', 'Resistance Mechanism': 'Magnetic', 'Product Dimensions': '28.2D x 52.6W x 63.2H Centimeters', 'Maximum Weight Recommendation': '100 Kilograms', 'Model Name': 'CUB-01', 'Maximum Height': '195 Centimetres', 'Minimum Height': '150 Centimetres', 'Number of Resistance Levels': '8', 'Drive System': 'Belt', 'Department': 'Unisex', 'Manufacturer': 'Cockatoo India Pvt. Ltd., Cockatoo Sports Pvt Ltd', 'Country of Origin': 'China', 'Item model number': 'CUB-01', 'ASIN': 'B07Q5YKZP4', 'Packer': 'Cockatoo India Pvt. Ltd.', 'Importer': 'Cockatoo India Pvt. Ltd.', 'Item Dimensions LxWxH': '28.2 x 52.6 x 63.2 Centimeters', 'Net Quantity': '1 count', 'Included Components': '1 Exercise Upright Bike', 'Generic Name': 'Exercise & Fitness'}",1684397190105365300
Viva Cruiser 700c Alloy Road Bike,B084BHXHLF,B084BHXHLF_-2728333124508997523_1684397190105365300_2,cycle,0,0,3.4 out of 5 stars,,,amazon,Viva,,"{'Bike Type': 'Road Bike', 'Age Range': 'Adult', 'Brand': 'Viva', 'Number of Speeds': '14', 'Colour': 'Red-Black', 'Wheel Size': '29 Inches', 'Frame Material': 'Aluminum', 'Suspension': 'Rigid', 'Special Feature': 'Lightweight', 'Included Components': 'Pedal || Saddle || Reflector || Seat post || Side Stand', 'Size': '700c', 'Brake type': 'Caliper', 'Usage': 'Trail, Road', 'Style': 'Red-Black', 'Model Name': 'VB-6201', 'Assembly Required': 'No', 'Batteries Included': 'No', 'Frame material': 'Aluminum', 'Frame Size': '22 Inches', 'Handle Type': 'Drop Bar, Drop Bar', 'Material Type': 'aluminum', 'Features': 'Lightweight', 'Speed rating': '14 speed', 'Sport': 'cycling', 'Manufacturer': 'SOCCER INTERNATIONAL PVT. LTD. - PJ', 'ASIN': 'B084BHXHLF', 'Date First Available': '29 January 2020', 'Item Weight': '22 kg', 'Generic Name': 'Cycle'}",1684397190105365300
"Leader Scout MTB 26T Mountain Bicycle/Bike Without Gear Single Speed for Men - Sea Green, Ideal for 10 + Years, Frame Size: 18 Inches",B089M9HVQP,B089M9HVQP_-2728333124508997523_1684397190105365300_3,cycle,"4,499","₹7,500",4.1 out of 5 stars,,,amazon,Leader,,"{'Bike Type': 'Mountain Bike', 'Age Range': 'Adult', 'Brand': 'Leader', 'Number of Speeds': '1', 'Colour': 'SEA GREEN _ BLACK', 'Wheel Size': '26 Inches', 'Frame Material': 'Carbon steel', 'Suspension': 'Rigid', 'Special Feature': 'Lightweight', 'Included Components': 'FLY MUDGUARD, PU Saddle, SIDE STAND', 'Size': '12-15 Years, 16-18 Years, 19+ Years', 'Brake type': 'Caliper', 'Usage': 'Trail', 'Item Weight': '18 kg 500 g', 'Style': 'MTB', 'Model Name': 'Leader Scout MTB 26T', 'Assembly Required': 'No', 'Frame material': 'Carbon steel', 'Frame Size': '18 Inches', 'Material Type': 'Steel', 'Features': 'Lightweight', 'Speed rating': 'Single Speed', 'Manufacturer': 'JINDAL FINE INDUSTRIES, INDAL FINE INDUSTRIES, Campa Cola Rd, Industrial Area C, Dhandari Kalan, Ludhiana, Punjab 141014', 'Country of Origin': 'India', 'ASIN': 'B089M9HVQP', 'Date First Available': '30 January 2021', 'Packer': 'INDAL FINE INDUSTRIES, Campa Cola Rd, Industrial Area C, Dhandari Kalan, Ludhiana, Punjab 141014', 'Item Dimensions LxWxH': '137.1 x 21.5 x 72.3 Centimeters', 'Net Quantity': '1 count', 'Generic Name': 'SPORTS CYCLING'}",1684397190105365300
Leader Stark 27.5T MTB Cycle/Bike with Dual Disc Brake and Front Suspension Single Speed for Men - Matt Black/Green Ideal for 15+ Years | Frame: 19 Inches,B08VMTZCB8,B08VMTZCB8_-2728333124508997523_1684397190105365300_4,cycle,"6,999","₹9,555",3.7 out of 5 stars,,,amazon,Leader,,"{'Bike Type': 'Mountain Bike', 'Age Range': 'Adult', 'Brand': 'Leader', 'Number of Speeds': '1', 'Colour': 'MATT BLACK _ GREEN', 'Wheel Size': '27.5 Inches', 'Frame Material': 'Alloy Steel', 'Suspension': 'Front', 'Special Feature': 'Lightweight', 'Included Components': 'Allen Key, Spanner and Instruction Manual, Side Stand, Front Reflectors/Rear Reflectors, Water Bottle', 'Size': '12-15 Years, 16-18 Years, 19+ Years', 'Brake type': 'Disc', 'Item Weight': '20 kg', 'Theme': 'Sport', 'Style': 'Mountain Bike', 'Model Name': 'Leader Stark 27.5T MTB Cycle/Bike With Dual Disc Brake and Front Suspension Single Speed for Men - Matt Black/Green Ideal for 15+ Years | Frame: 19 Inches', 'Wheel Material': 'Alloy Steel', 'Model Year': '2023', 'Warranty Type': 'Lifetime', 'Assembly Required': 'Yes', 'Frame material': 'Alloy Steel', 'Frame Size': '19 Inches', 'Material Type': 'Steel', 'Number of Items': '1', 'Features': 'Lightweight', 'Speed rating': 'Single Speed', 'Manufacturer': 'JINDAL FINE INDUSTRIES, Campa Cola Rd, Industrial Area C, Dhandari Kalan, Ludhiana, Punjab 141014', 'Country of Origin': 'India', 'ASIN': 'B08VMTZCB8', 'Date First Available': '2 February 2021', 'Packer': 'Campa Cola Rd, Industrial Area C, Dhandari Kalan, Ludhiana, Punjab 141014', 'Item Dimensions LxWxH': '151 x 24 x 77 Centimeters', 'Net Quantity': '1 Piece', 'Generic Name': 'SPORTS CYCLING'}",1684397190105365300
"Leader Men's Single Speed Without Gear City Surfer MTB 26T Mountain Bicycle (Black & Orange, Above 10 Years, 18 Inches Frame",B08VN598TP,B08VN598TP_-2728333124508997523_1684397190105365300_5,cycle,"6,099","₹9,009",3.9 out of 5 stars,,,amazon,Leader,,"{'Bike Type': 'Mountain Bike', 'Age Range': 'Adult', 'Brand': 'Leader', 'Number of Speeds': '1', 'Colour': 'MATT BLACK / ORANGE', 'Wheel Size': '26 Inches', 'Frame Material': 'Alloy Steel', 'Suspension': 'Rigid', 'Special Feature': 'Lightweight', 'Included Components': 'Front Reflectors/Rear Reflectors, Water Bottle, Allen Key, Spanner and Instruction Manual, Side Stand,', 'Size': '12-15 Years, 16-18 Years, 19+ Years', 'Brake type': 'Linear Pull', 'Usage': 'Mountain Cycling, Trail', 'Item Weight': '20 kg', 'Theme': 'Sport', 'Style': 'Mountain Cycling', 'Model Name': 'Leader City Surfer MTB 26T', 'Wheel Material': 'Alloy Steel', 'Model Year': '2021', 'Assembly Required': 'Yes', 'Frame material': 'Alloy Steel', 'Frame Size': '18 Inches', 'Material Type': 'Steel', 'Number of Items': '1', 'Features': 'Lightweight', 'Speed rating': 'Single Speed', 'Manufacturer': 'JINDAL FINE INDUSTRIES, Campa Cola Rd, Industrial Area C, Dhandari Kalan, Ludhiana, Punjab 141014', 'Country of Origin': 'India', 'ASIN': 'B08VN598TP', 'Date First Available': '2 February 2021', 'Packer': 'Campa Cola Rd, Industrial Area C, Dhandari Kalan, Ludhiana, Punjab 141014', 'Item Dimensions LxWxH': '137 x 21 x 72 Centimeters', 'Net Quantity': '1 Piece', 'Generic Name': 'SPORTS CYCLING'}",1684397190105365300
"Leader Gladiator 26t Mountain Bike Multispeed (21 Speed) Gear Cycle | Free Pan India Installation| Front Suspension and Disc Brake (26T, SEA Green Black)",B08VNY6TMH,B08VNY6TMH_-2728333124508997523_1684397190105365300_6,cycle,"8,999","₹13,975",3.9 out of 5 stars,26T,SEA GREEN _ BLACK,amazon,Leader,,"{'Bike Type': 'Road Bike', 'Age Range (Description)': 'Adult', 'Brand': 'Leader', 'Number of Speeds': '21', 'Colour': 'SEA GREEN _ BLACK', 'Wheel Size': '18 Inches', 'Frame Material': 'Alloy Steel', 'Suspension Type': 'Front', 'Special Feature': 'Lightweight', 'Included Components': 'Front Reflectors/Rear Reflectors | Water Bottle, Allen Key, Spanner and Instruction Manual | Stand', 'Size': '26T', 'Brake Style': 'Disc', 'Item Weight': '14 kg 200 g', 'Theme': 'Sport', 'Style': 'Mountain Bike', 'Model Name': 'Leader Gladiator 26t Mountain Bike Multispeed (21 Speed) Gear Cycle | Free Pan India Installation| Front Suspension and Disc Brake | Ideal for 12+ Years Unisex | Frame: 18 Inches', 'Wheel Material': 'Steel Wheel', 'Model Year': '2019', 'Assembly Required': 'Yes', 'Department': 'Unisex-Adult', 'Manufacturer': 'JINDAL FINE INDUSTRIES, Campa Cola Rd, Industrial Area C, Dhandari Kalan, Ludhiana, Punjab 141014', 'Country of Origin': 'India', 'ASIN': 'B08VNY6TMH', 'Packer': 'Campa Cola Rd, Industrial Area C, Dhandari Kalan, Ludhiana, Punjab 141014', 'Importer': 'Campa Cola Rd, Industrial Area C, Dhandari Kalan, Ludhiana, Punjab 141014', 'Item Dimensions LxWxH': '137 x 24 x 73 Centimeters', 'Net Quantity': '1 Piece', 'Generic Name': 'SPORTS CYCLING'}",1684397190105365300
"Firefox Bikes Bad Attitude Single Speed Mountain Bike for Above 13 Years Kid, 9-29T, Frame Size - 18 Inches, Tire Size - 29 Inches (Blue) - Unisex",B095WX7DHG,B095WX7DHG_-2728333124508997523_1684397190105365300_7,cycle,"14,599","₹15,999",3.7 out of 5 stars,,,amazon,Firefox Bikes,,"{'Bike Type': 'Mountain Bike', 'Age Range': 'Kid', 'Brand': 'Firefox Bikes', 'Number of Speeds': '1', 'Colour': 'Blue ; Blue', 'Wheel Size': '29 Inches', 'Frame Material': 'Alloy Steel', 'Special Feature': 'Lightweight', 'Included Components': 'In-box Content : 1 Firefox Bikes Bad Attitude 9, Pedal, Tool Kit (Allen Key & Muti Spanner).', 'Size': 'L', 'Brake type': 'Caliper', 'Item Weight': '15 kg 900 g', 'Style': 'Mountain Bike', 'Model Name': 'Bad Attitude 9', 'Model Year': '2021', 'Frame material': 'Alloy Steel', 'Frame Size': '18 Inches', 'Length': '73 Inches', 'Material Type': 'Steel', 'Number of Items': '1', 'Features': 'Lightweight', 'Speed rating': 'Single Speed', 'Manufacturer': 'Firefox Bikes Pvt Ltd, FIREFOX BIKES PVT LTD, Junction Road Industrial Area, Village Maujpur, Khurja, BULANDSHAHR, UP, IN, 203131, Ph no: +91-9891400800, Email : customercare@firefoxbikes.com', 'Country of Origin': 'India', 'ASIN': 'B095WX7DHG', 'Date First Available': '26 May 2021', 'Packer': 'FIREFOX BIKES PVT LTD, Junction Road Industrial Area, Village Maujpur, Khurja, BULANDSHAHR, UP, IN, 203131, Ph no: +91-9891400800, Email : customercare@firefoxbikes.com', 'Importer': 'FIREFOX BIKES PVT LTD, Junction Road Industrial Area, Village Maujpur, Khurja, BULANDSHAHR, UP, IN, 203131, Ph no: +91-9891400800, Email : customercare@firefoxbikes.com', 'Item Dimensions LxWxH': '144.8 x 17.8 x 76.2 Centimeters', 'Net Quantity': '1 count', 'Generic Name': 'Bicycle'}",1684397190105365300
"Lifelong LLBC2601 Escape without Gear Single Speed 26T MTB Cycle(Black) Ideal for: Adults (Above 12 Years)IFrame Size: 18""| Ideal Height:5 ft 4 inches+IUnisex Cycle|85% Assembled (Easy Self-Assembly)",B096GXBX1L,B096GXBX1L_-2728333124508997523_1684397190105365300_8,cycle,"5,227","₹7,499",3.8 out of 5 stars,,,amazon,Lifelong,,"{'Bike Type': 'Mountain Bike', 'Age Range': 'Adult', 'Brand': 'Lifelong', 'Number of Speeds': '6', 'Colour': 'Matte Black', 'Wheel Size': '26 Inches', 'Frame Material': 'Alloy Steel', 'Suspension': 'Rigid', 'Special Feature': 'Lightweight', 'Included Components': '85% Assembled Cycle, Toolkit', 'Size': 'M', 'Brake type': 'Caliper', 'Usage': 'Road', 'Item Weight': '15 kg 300 g', 'Style': '26 inches- Black', 'Model Name': 'Escape', 'Model Year': '2021', 'Assembly Required': 'No', 'Frame material': 'Alloy Steel', 'Frame Size': '18 Inches', 'Material Type': 'Steel', 'Number of Items': '1', 'Features': 'Lightweight', 'Speed rating': 'Single Speed', 'Manufacturer': 'Lifelong Online Retail Pvt Ltd, Lifelong Online Retail Pvt Ltd, www.lifelongindiaonline.com/contact-us Tel: +91 9711558877', 'Country of Origin': 'India', 'ASIN': 'B096GXBX1L', 'Date First Available': '8 July 2021', 'Packer': 'Lifelong Online Retail Pvt Ltd, www.lifelongindiaonline.com/contact-us Tel: +91 9711558877', 'Item Dimensions LxWxH': '140 x 21.5 x 70 Centimeters', 'Net Quantity': '1 Count', 'Generic Name': 'Freeride Bike'}",1684397190105365300
"Lifelong LLBC2601 Escape without Gear Single Speed 26T MTB Cycle(Black) Ideal for: Adults (Above 12 Years)IFrame Size: 18""| Ideal Height:5 ft 4 inches+IUnisex Cycle|85% Assembled (Easy Self-Assembly)",B096GXBX1L,B096GXBX1L_-2728333124508997523_1684397190105365300_9,cycle,"5,227","₹7,499",3.8 out of 5 stars,,,amazon,Lifelong,,"{'Bike Type': 'Mountain Bike', 'Age Range': 'Adult', 'Brand': 'Lifelong', 'Number of Speeds': '6', 'Colour': 'Matte Black', 'Wheel Size': '26 Inches', 'Frame Material': 'Alloy Steel', 'Suspension': 'Rigid', 'Special Feature': 'Lightweight', 'Included Components': '85% Assembled Cycle, Toolkit', 'Size': 'M', 'Brake type': 'Caliper', 'Usage': 'Road', 'Item Weight': '15 kg 300 g', 'Style': '26 inches- Black', 'Model Name': 'Escape', 'Model Year': '2021', 'Assembly Required': 'No', 'Frame material': 'Alloy Steel', 'Frame Size': '18 Inches', 'Material Type': 'Steel', 'Number of Items': '1', 'Features': 'Lightweight', 'Speed rating': 'Single Speed', 'Manufacturer': 'Lifelong Online Retail Pvt Ltd, Lifelong Online Retail Pvt Ltd, www.lifelongindiaonline.com/contact-us Tel: +91 9711558877', 'Country of Origin': 'India', 'ASIN': 'B096GXBX1L', 'Date First Available': '8 July 2021', 'Packer': 'Lifelong Online Retail Pvt Ltd, www.lifelongindiaonline.com/contact-us Tel: +91 9711558877', 'Item Dimensions LxWxH': '140 x 21.5 x 70 Centimeters', 'Net Quantity': '1 Count', 'Generic Name': 'Freeride Bike'}",1684397190105365300
"Lifelong Falcon with Disc Brake and Suspension Cycle I Ideal For: Adults (Above 12 years)I Frame size: 18"" | Ideal Height:5 ft 4 inch+ IUnisex Lifelong Cycle| 85% assembled (Black, Easy Self-Assembly)",B096H6CPPD,B096H6CPPD_-2728333124508997523_1684397190105365300_10,cycle,"7,594","₹11,499",3.9 out of 5 stars,,,amazon,Lifelong,,"{'Bike Type': 'Freeride Bike', 'Age Range': 'Adult', 'Brand': 'Lifelong', 'Number of Speeds': '1', 'Colour': 'Matte Black', 'Wheel Size': '26 Inches', 'Frame Material': 'Alloy Steel', 'Suspension': 'Front', 'Special Feature': 'Lightweight', 'Included Components': '85% Assembled Cycle, Toolkit', 'Size': 'M', 'Brake type': 'Disc', 'Usage': 'Road', 'Item Weight': '15 kg 300 g', 'Style': 'Falcon', 'Model Name': 'Falcon', 'Model Year': '2021', 'Assembly Required': 'Yes', 'Frame material': 'Alloy Steel', 'Frame Size': '18 Inches', 'Material Type': 'Steel', 'Number of Items': '1', 'Features': 'Lightweight', 'Speed rating': 'Single Speed', 'Manufacturer': 'Lifelong Online Retail Pvt Ltd, Lifelong Online Retail Pvt Ltd, www.lifelongindiaonline.com/contact-us Tel: +91 9711558877', 'Country of Origin': 'India', 'ASIN': 'B096H6CPPD', 'Date First Available': '2 June 2021', 'Packer': 'Lifelong Online Retail Pvt Ltd, www.lifelongindiaonline.com/contact-us Tel: +91 9711558877', 'Importer': 'Lifelong Online Retail Private Limited', 'Item Dimensions LxWxH': '140 x 21.5 x 70 Centimeters', 'Net Quantity': '1 Count', 'Generic Name': 'Freeride Bike'}",1684397190105365300
